Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.5088672637939453,0.6222222447395325,0.6985495686531067,0.6680316925048828
2,0.6095537543296814,0.5925925970077515,0.6682071685791016,0.6426686644554138
3,0.6413043737411499,0.7518518567085266,0.6485632061958313,0.618499755859375
4,0.7156750559806824,0.7259259223937988,0.628005862236023,0.5875416398048401
5,0.7316933870315552,0.7666666507720947,0.6051989197731018,0.5603980422019958
6,0.7491418719291687,0.7925925850868225,0.5831212401390076,0.5360507369041443
7,0.7565789222717285,0.7851851582527161,0.560066282749176,0.5127316117286682
8,0.7577230930328369,0.7851851582527161,0.5404989123344421,0.4942135214805603
9,0.7651602029800415,0.800000011920929,0.5204232335090637,0.47423413395881653
10,0.7754576802253723,0.7666666507720947,0.501305341720581,0.4699465036392212
11,0.7817505598068237,0.800000011920929,0.48707085847854614,0.4477063715457916
12,0.7891876697540283,0.8185185194015503,0.47305500507354736,0.43224939703941345
13,0.7909038662910461,0.8111110925674438,0.46106359362602234,0.4285047650337219
14,0.8052059412002563,0.8222222328186035,0.44940653443336487,0.42211249470710754
15,0.807208240032196,0.8222222328186035,0.4402865171432495,0.4101664125919342
16,0.8123570084571838,0.8296296000480652,0.4314050078392029,0.40250062942504883
17,0.8152173757553101,0.8444444537162781,0.42433369159698486,0.39539146423339844
18,0.8212242722511292,0.8370370268821716,0.41649386286735535,0.39936333894729614
19,0.8252288103103638,0.8148148059844971,0.4101996421813965,0.4156351387500763
20,0.8335240483283997,0.8629629611968994,0.40260085463523865,0.3859182596206665
21,0.8300915360450745,0.8259259462356567,0.39865994453430176,0.4087408185005188
22,0.8349542617797852,0.8518518805503845,0.39495527744293213,0.37638580799102783
23,0.8378146290779114,0.855555534362793,0.38819849491119385,0.38238024711608887
24,0.8418192267417908,0.8518518805503845,0.38212132453918457,0.37014058232307434
25,0.8446796536445618,0.8518518805503845,0.37911540269851685,0.3747493028640747
26,0.8455377817153931,0.8629629611968994,0.37673521041870117,0.37122806906700134
