Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.6069794297218323,0.6851851940155029,0.6499640941619873,0.6040676832199097
2,0.693077802658081,0.7407407164573669,0.5770184993743896,0.5527858138084412
3,0.7474256157875061,0.7629629373550415,0.531907856464386,0.5100836753845215
4,0.77173912525177,0.7814815044403076,0.5009291768074036,0.4882720410823822
5,0.7877574563026428,0.7851851582527161,0.4785595238208771,0.4862165153026581
6,0.7957665920257568,0.7888888716697693,0.4612458050251007,0.4631192982196808
7,0.8017734289169312,0.7925925850868225,0.44731763005256653,0.45946893095970154
8,0.810068666934967,0.7962962985038757,0.4359707236289978,0.4579541087150574
9,0.8126429915428162,0.7962962985038757,0.42668378353118896,0.45821714401245117
10,0.8192219734191895,0.8037037253379822,0.4188739061355591,0.4405013620853424
11,0.8226544857025146,0.8111110925674438,0.41163673996925354,0.4304049015045166
12,0.8249427676200867,0.8074073791503906,0.40516024827957153,0.4437023103237152
13,0.828661322593689,0.8148148059844971,0.3996754586696625,0.4277670681476593
14,0.8300915360450745,0.8185185194015503,0.3948605954647064,0.42870718240737915
15,0.8300915360450745,0.8185185194015503,0.39011824131011963,0.4277511537075043
16,0.8318077921867371,0.8185185194015503,0.3862910568714142,0.4260685443878174
