Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.633009135723114,0.6851851940155029,0.659166693687439,0.6267455816268921
2,0.7125285863876343,0.7740740776062012,0.6180751919746399,0.5767679214477539
3,0.741990864276886,0.7925925850868225,0.5867788791656494,0.5413044095039368
4,0.766590416431427,0.800000011920929,0.5623013377189636,0.5149833559989929
5,0.7768878936767578,0.8074073791503906,0.5444455146789551,0.49532532691955566
6,0.785469114780426,0.8074073791503906,0.5275331139564514,0.4805302321910858
7,0.7917619943618774,0.8111110925674438,0.5129278898239136,0.46841761469841003
8,0.7957665920257568,0.8185185194015503,0.5026659965515137,0.458089679479599
9,0.7966247200965881,0.8185185194015503,0.4928371012210846,0.44933074712753296
10,0.801201343536377,0.8185185194015503,0.4842131733894348,0.44232097268104553
11,0.8052059412002563,0.8259259462356567,0.47784751653671265,0.4349044859409332
12,0.801201343536377,0.8222222328186035,0.47093477845191956,0.4296622574329376
13,0.8106407523155212,0.8259259462356567,0.4659588634967804,0.4247620105743408
