Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.5328947305679321,0.5814814567565918,0.6902710199356079,0.6723749041557312
2,0.5672196745872498,0.6888889074325562,0.6753789782524109,0.6557492613792419
3,0.6332951784133911,0.729629635810852,0.6614605188369751,0.6390308141708374
4,0.6862128376960754,0.7111111283302307,0.6474072337150574,0.6197323799133301
5,0.7099542617797852,0.770370364189148,0.6330011487007141,0.6053623557090759
6,0.7325515151023865,0.7666666507720947,0.61761873960495,0.5835384130477905
7,0.7359839677810669,0.7592592835426331,0.6014799475669861,0.568528413772583
8,0.7428489923477173,0.7777777910232544,0.5854190587997437,0.547725260257721
9,0.7531464695930481,0.7777777910232544,0.5699456930160522,0.5317747592926025
10,0.7582951784133911,0.7740740776062012,0.5547845363616943,0.5173381567001343
11,0.7631579041481018,0.7851851582527161,0.5392144322395325,0.5053272843360901
12,0.7654462456703186,0.7851851582527161,0.5261620879173279,0.48790493607521057
13,0.768878698348999,0.7888888716697693,0.5136493444442749,0.47537797689437866
14,0.7823226451873779,0.8037037253379822,0.5016179084777832,0.4667106866836548
15,0.7846109867095947,0.7962962985038757,0.4895132780075073,0.4629538655281067
16,0.7886155843734741,0.8074073791503906,0.4801572561264038,0.45498576760292053
17,0.7903317809104919,0.8222222328186035,0.4703015089035034,0.43432149291038513
18,0.7949084639549255,0.8333333134651184,0.4595990478992462,0.42721760272979736
19,0.8003432750701904,0.7962962985038757,0.45105770230293274,0.4546886086463928
20,0.8066361546516418,0.8074073791503906,0.4422616958618164,0.43676093220710754
21,0.8086384534835815,0.8222222328186035,0.4359508752822876,0.41074472665786743
22,0.8143592476844788,0.8259259462356567,0.42772701382637024,0.40895378589630127
23,0.8189359307289124,0.8296296000480652,0.4196625053882599,0.42034056782722473
24,0.8226544857025146,0.8296296000480652,0.4159681499004364,0.40344682335853577
