Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.5308924317359924,0.5555555820465088,0.6903616786003113,0.6871506571769714
2,0.5311784744262695,0.5629629492759705,0.6912733316421509,0.688788652420044
3,0.5303203463554382,0.5629629492759705,0.6908273100852966,0.6896107792854309
4,0.5394737124443054,0.43703705072402954,0.6909056901931763,0.700361967086792
5,0.5288901329040527,0.5555555820465088,0.690907895565033,0.6882660984992981
6,0.5343249440193176,0.5666666626930237,0.6909905672073364,0.6892374753952026
7,0.5357551574707031,0.5555555820465088,0.6903670430183411,0.6872081160545349
8,0.5306063890457153,0.5666666626930237,0.6913174390792847,0.6888746619224548
9,0.538329541683197,0.5518518686294556,0.6896024942398071,0.6905633807182312
10,0.5311784744262695,0.4703703820705414,0.6899495720863342,0.6939902901649475
11,0.5360412001609802,0.4407407343387604,0.6899523138999939,0.7011166214942932
