Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.5903890132904053,0.6222222447395325,0.6790758371353149,0.6766705513000488
2,0.7131006717681885,0.7407407164573669,0.5788270235061646,0.5754454731941223
3,0.7611556053161621,0.7851851582527161,0.5228246450424194,0.5300526022911072
4,0.7868993282318115,0.8074073791503906,0.48959511518478394,0.49655383825302124
5,0.7926201224327087,0.8037037253379822,0.4669869542121887,0.4834882318973541
6,0.8034896850585938,0.8222222328186035,0.451109379529953,0.4552346169948578
7,0.8117849230766296,0.8296296000480652,0.43624600768089294,0.44081148505210876
8,0.8143592476844788,0.8370370268821716,0.424949586391449,0.43038618564605713
9,0.823512613773346,0.8259259462356567,0.4192628264427185,0.4372982680797577
10,0.8280892372131348,0.8296296000480652,0.4103229343891144,0.42950236797332764
11,0.834382176399231,0.8481481671333313,0.3996089696884155,0.4105674922466278
12,0.8320938348770142,0.8444444537162781,0.39097723364830017,0.41226592659950256
13,0.8389587998390198,0.8481481671333313,0.3880593180656433,0.3989531397819519
14,0.8389587998390198,0.8518518805503845,0.38259121775627136,0.40418121218681335
15,0.8383867144584656,0.8481481671333313,0.38014721870422363,0.4058613181114197
16,0.8472539782524109,0.855555534362793,0.37035179138183594,0.39402270317077637
