Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.4785469174385071,0.4444444477558136,0.7001074552536011,0.6949414014816284
2,0.475400447845459,0.4444444477558136,0.6958891153335571,0.6968875527381897
3,0.5140160322189331,0.43703705072402954,0.6925051212310791,0.693435788154602
4,0.5340389013290405,0.5555555820465088,0.6916152834892273,0.6903171539306641
5,0.5248855948448181,0.5555555820465088,0.6919312477111816,0.6892935037612915
6,0.5337528586387634,0.5555555820465088,0.6923450231552124,0.6886446475982666
7,0.5340389013290405,0.5555555820465088,0.6908036470413208,0.6884554028511047
8,0.5351830720901489,0.5555555820465088,0.6923750042915344,0.6883337497711182
9,0.5317505598068237,0.5555555820465088,0.6913153529167175,0.6883751749992371
10,0.5260297656059265,0.5555555820465088,0.6924590468406677,0.6881781220436096
11,0.532608687877655,0.5555555820465088,0.692169725894928,0.688110888004303
12,0.532608687877655,0.5555555820465088,0.6913548111915588,0.6878820061683655
